Team_1,Team_2,Map1_Team1_Score,Map1_Team2_Score,Map2_Team1_Score,Map2_Team2_Score,Map3_Team1_Score,Map3_Team2_Score,winner
ALTERNATE aTTaX,NLG,16,10,16,11,0,0,ALTERNATE aTTaX
Movistar Riders,ALTERNATE aTTaX,14,16,16,9,16,14,Movistar Riders
Gambit,Illuminar,16,5,16,7,0,0,Gambit
Spirit,flowskola,16,2,19,17,0,0,Spirit
Fenrir,Forbidden,19,17,16,11,0,0,Fenrir
Sylyx,LAKERS,16,9,16,6,0,0,Sylyx
Copenhagen Flames,Tricked,4,16,16,9,14,16,Tricked
FaZe,MIBR,20,22,11,16,0,0,MIBR
SAW,Sprout,7,16,14,16,0,0,Sprout
AGF,Tricked,14,16,7,16,0,0,Tricked
Copenhagen Flames,ESIMED,16,7,16,12,0,0,Copenhagen Flames
NIP,Cloud9,12,16,14,16,0,0,Cloud9
mousesports,GODSENT,16,6,16,8,0,0,mousesports
Sylyx,really weird,16,14,19,22,16,19,really weird
NAVI Junior,Lilmix,4,16,16,6,16,2,NAVI Junior
Gambit,Nemiga,16,4,16,14,0,0,Gambit
Caught off Guard,Fenrir,12,16,16,9,16,13,Caught off Guard
Nemiga,forZe,22,19,19,16,0,0,Nemiga
Gambit,SKADE,19,17,16,14,0,0,Gambit
GSG9,Rise,13,16,16,6,6,16,Rise
Yeah,GGPR,16,7,16,10,0,0,Yeah
Havan Liberty,9z,16,14,16,4,0,0,Havan Liberty
FURIA,Isurus,5,16,16,4,16,14,FURIA
Sprout,Wisla Krakow,8,16,16,10,16,5,Sprout
Lyngby Vikings,ESIMED,10,16,6,16,0,0,ESIMED
Movistar Riders,Sangal,11,16,7,16,0,0,Sangal
Tricked,Aalborg Rebels,13,16,16,13,16,5,Tricked
Spirit,Virtus.pro,16,9,10,16,8,16,Virtus.pro
forZe,PACT,16,12,14,16,22,20,forZe
Complexity,Sprout,16,4,16,4,0,0,Complexity
Nemiga,Giants,16,4,10,16,16,9,Nemiga
Wisla Krakow,SKADE,12,16,16,4,10,16,SKADE
Gambit,Espada,16,12,16,7,0,0,Gambit
Royal Republic,9z,11,16,12,16,0,0,9z
Meta,Bravos,11,16,6,16,0,0,Bravos
Sprout,HellRaisers,16,4,19,17,0,0,Sprout
Endpoint,SAW,7,16,16,8,16,13,Endpoint
